player_id,username,nome,titulo,avatar,url,seguidores,pais,data_entrada,status,is_streamer,verificado,origem
15448422,hikaru,Hikaru Nakamura,GM,https://images.chesscomfiles.com/uploads/v1/user/15448422.88c010c1.200x200o.3c5619f5441e.png,https://www.chess.com/member/Hikaru,1371813,US,2014-01-06,premium,True,False,chess.com
34145346,denlaz,Denis Lazavik,GM,https://images.chesscomfiles.com/uploads/v1/user/34145346.088fe903.200x200o.497edc350e6a.webp,https://www.chess.com/member/DenLaz,1398,BY,2017-03-21,premium,False,False,chess.com
3889224,magnuscarlsen,Magnus Carlsen,GM,https://images.chesscomfiles.com/uploads/v1/user/3889224.121e2094.200x200o.361c2f8a59c2.jpg,https://www.chess.com/member/MagnusCarlsen,281034,NO,2010-08-26,premium,False,False,chess.com
28692936,rpragchess,Praggnanandhaa Rameshbabu,GM,https://images.chesscomfiles.com/uploads/v1/user/28692936.02da0bac.200x200o.d0b1b8f66ac2.jpg,https://www.chess.com/member/rpragchess,12457,IN,2016-06-19,premium,False,False,chess.com
50386860,gurelediz,Ediz Gürel,GM,https://images.chesscomfiles.com/uploads/v1/user/50386860.8f4bcdc7.200x200o.52a55edd9e84.jpg,https://www.chess.com/member/gurelediz,6092,TR,2018-10-04,premium,False,False,chess.com
30366824,gmwso,Wesley So,GM,https://images.chesscomfiles.com/uploads/v1/user/30366824.22d6b1f8.200x200o.bf8ce3f933fc.jpg,https://www.chess.com/member/GMWSO,10729,US,2016-10-13,premium,False,False,chess.com
33903360,sibelephant,Vladislav Artemiev,GM,https://images.chesscomfiles.com/uploads/v1/user/33903360.eba9f5a2.200x200o.578bfd0b2e17.jpeg,https://www.chess.com/member/Sibelephant,3018,RU,2017-03-12,premium,False,False,chess.com
7195919,nihalsarin,Nihal Sarin,GM,https://images.chesscomfiles.com/uploads/v1/user/7195919.159050ca.200x200o.883e75faf64e.jpg,https://www.chess.com/member/nihalsarin,20070,IN,2012-04-05,premium,True,False,chess.com
17860442,mishanick,Aleksei Sarana,GM,https://images.chesscomfiles.com/uploads/v1/user/17860442.d25fa08e.200x200o.81d6cc6b6581.png,https://www.chess.com/member/mishanick,2379,RS,2014-06-28,premium,False,False,chess.com
42022994,firouzja2003,Alireza Firouzja,GM,https://images.chesscomfiles.com/uploads/v1/user/42022994.2c7a0722.200x200o.3088f5180d8d.jpg,https://www.chess.com/member/Firouzja2003,30614,FR,2018-01-05,premium,False,False,chess.com
88920388,hansontwitch,Hans Niemann,GM,,https://www.chess.com/member/HansOnTwitch,5772,US,2020-08-12,premium,False,False,chess.com
