enxadrista_id,player_id,username,nome,titulo,pais,avatar,seguidores,data_entrada,status,is_streamer,verificado,fide_id,federacao_fide,ano_nascimento,sexo,titulo_fide,rating_fide_standard,jogos_fide_standard,rating_fide_rapid,jogos_fide_rapid,rating_fide_blitz,jogos_fide_blitz,origem
53,26824392,gutovandrey,Andrey Gutov,GM,US,https://images.chesscomfiles.com/uploads/v1/user/26824392.45f76f42.200x200o.2bca585e3e36.jpeg,25601,1455957001,premium,False,False,,,,,,,,,,,,chess.com
54,57549096,seanwinshand,Sean Winshand,GM,ID,https://images.chesscomfiles.com/uploads/v1/user/57549096.b48504be.200x200o.4f2d0efb44bb.jpg,3919,1550585475,premium,False,False,,,,,,,,,,,,chess.com
55,11650164,lpsupi,Luis Paulo Supi,GM,BR,https://images.chesscomfiles.com/uploads/v1/user/11650164.da85056d.200x200o.67d7a22a745d.jpeg,12438,1366894767,premium,True,False,,,,,,,,,,,,chess.com
56,48066110,evandro_barbosa,Evandro Amorim Barbosa,GM,BR,https://images.chesscomfiles.com/uploads/v1/user/48066110.f26beab9.200x200o.7c294c6679b3.jpeg,4041,1532208663,premium,True,False,,,,,,,,,,,,chess.com
57,44629086,gigaquparadze,Giga Quparadze,GM,GE,https://images.chesscomfiles.com/uploads/v1/user/44629086.18a299eb.200x200o.41e140ad6097.jpeg,1947,1521971630,premium,False,False,,,,,,,,,,,,chess.com
58,27300798,lovevae,Wei Yi,GM,CN,https://images.chesscomfiles.com/uploads/v1/user/27300798.d45796b6.200x200o.1368393c5c7f.jpeg,1727,1458315576,premium,False,False,,,,,,,,,,,,chess.com
59,284620627,chasing_checkmate,Corey Acor,FM,US,https://images.chesscomfiles.com/uploads/v1/user/284620627.9662414f.200x200o.feb828eca821.jpg,318,1683861992,premium,False,False,,,,,,,,,,,,chess.com
60,338103933,lethalspider7,,,NO,,31,1704918317,basic,False,False,,,,,,,,,,,,chess.com
61,51248978,yachen_03,,,IM,https://images.chesscomfiles.com/uploads/v1/user/51248978.f652705a.200x200o.5e907b97d9e5.jpg,36,1540782400,premium,False,False,,,,,,,,,,,,chess.com
62,51123018,swiss_fighter,Gabriel Gähwiler,IM,CH,,150,1540469980,premium,False,False,,,,,,,,,,,,chess.com
63,62925986,g3god,Sasikiran Krishnan,GM,IN,,381,1562150230,premium,False,False,,,,,,,,,,,,chess.com
64,14074142,christopheryoo,Christopher Woojin Yoo,GM,TV,,7637,1382868780,premium,False,False,,,,,,,,,,,,chess.com
65,1355607,gmkrikor,Krikor Sevag Mekhitarian,GM,BR,https://images.chesscomfiles.com/uploads/v1/user/1355607.267b4f2b.200x200o.4cb2d1952100.jpeg,43478,1207980653,staff,True,False,,,,,,,,,,,,chess.com
66,26352834,berardino,Diego Berardino,IM,BR,https://images.chesscomfiles.com/uploads/v1/user/26352834.823a8d50.200x200o.4c32f681357e.png,2448,1453824890,premium,False,False,,,,,,,,,,,,chess.com
67,23579934,reader777,Read Samadov,IM,AZ,https://images.chesscomfiles.com/uploads/v1/user/23579934.435e3768.200x200o.3916fc4666f3.jpeg,167,1439023955,premium,False,False,,,,,,,,,,,,chess.com
68,49308476,szparu,Miłosz Szpar,GM,PL,https://images.chesscomfiles.com/uploads/v1/user/49308476.f296b7aa.200x200o.5f2c2dc46ff8.png,887,1535745436,premium,True,False,,,,,,,,,,,,chess.com
69,406113149,liindseeyy,,,FR,https://images.chesscomfiles.com/uploads/v1/user/406113149.2170f75d.200x200o.b61089e9b7f4.png,39,1732990246,basic,False,False,,,,,,,,,,,,chess.com
70,1784023,kacparov,Kacper Drozdowski,IM,PL,https://images.chesscomfiles.com/uploads/v1/user/1784023.7763d589.200x200o.5bc4233aef8a.jpeg,6202,1235389071,premium,False,False,,,,,,,,,,,,chess.com
71,157440329,aoitsukibluemoon,Wang Hao,GM,JP,https://images.chesscomfiles.com/uploads/v1/user/157440329.5a7d3617.200x200o.e72d8642a1e2.jpeg,119,1633758581,premium,False,False,,,,,,,,,,,,chess.com
72,3958391,gmbenjaminbok,Benjamin Bok,GM,NL,https://images.chesscomfiles.com/uploads/v1/user/3958391.1ca1273c.200x200o.b3509401e9cf.jpeg,21670,1284134842,premium,True,False,,,,,,,,,,,,chess.com
73,70572670,deechess123,,,IN,,31,1578673701,basic,False,False,,,,,,,,,,,,chess.com
74,152868735,wqws,Kaivalya Sandip Nagare,FM,IN,,88,1630315406,premium,False,False,,,,,,,,,,,,chess.com
75,11511066,elefante33,Felipe El Debs,GM,BR,https://images.chesscomfiles.com/uploads/v1/user/11511066.cf78393c.200x200o.0eca23131651.jpeg,2128,1365890244,premium,False,False,,,,,,,,,,,,chess.com
76,28234198,sargsyan_shant,Shant Sargsyan,GM,AM,https://images.chesscomfiles.com/uploads/v1/user/28234198.2be8ab34.200x200o.3b8860366115.jpg,116,1463515341,premium,False,False,,,,,,,,,,,,chess.com
77,75631914,sahibsinghknight,Sahib Singh,IM,IN,https://images.chesscomfiles.com/uploads/v1/user/75631914.86abd2d6.200x200o.bb1d3fdf5ae3.jpeg,512,1586006370,premium,False,False,25618342,,21  0,IN,D M,,,,,,,chess.com
78,23879414,gmalmeida,Omar Almeida Quintana,GM,CU,https://images.chesscomfiles.com/uploads/v1/user/23879414.86119a71.200x200o.f0aefd0cdba5.jpeg,121,1440866512,premium,False,False,,,,,,,,,,,,chess.com
79,26735280,astralpulse,Alex Goldin,GM,US,,142,1455562544,premium,False,False,,,,,,,,,,,,chess.com
80,37419240,elnur_mehtiyev,Elnur Mehtiyev,,AZ,https://images.chesscomfiles.com/uploads/v1/user/37419240.ddb20430.200x200o.9ef5aa0acf0d.jpeg,63,1501401826,basic,False,False,,,,,,,,,,,,chess.com
81,65338422,dual_flurry,Jerad Docena,IM,PH,,135,1568121699,premium,False,False,,,,,,,,,,,,chess.com
82,371633593,kazuko-chan,Luna (Xiaowen) Cao,,JP,https://images.chesscomfiles.com/uploads/v1/user/371633593.ab013513.200x200o.17b51e0c3cf1.jpg,419,1719232331,basic,False,False,,,,,,,,,,,,chess.com
83,55969800,chessmatenokk17,Sergey And. Korshunov,FM,RU,https://images.chesscomfiles.com/uploads/v1/user/55969800.3d2a6fa7.200x200o.090a119c7062.jpg,59,1547482601,premium,False,False,,,,,,,,,,,,chess.com
84,188604399,foxontherun97,Ondrej Toman,FM,CZ,https://images.chesscomfiles.com/uploads/v1/user/188604399.620a4674.200x200o.15cdb8840dad.jpg,125,1656658062,premium,False,False,,,,,,,,,,,,chess.com
