player_id,modalidade,data_referencia,rating_atual,rating_melhor,data_rating_melhor,vitorias,derrotas,empates
48066110,rapid,2026-01-19,2812,2812.0,2026-01-19,318,45,34
48066110,blitz,2026-01-19,2786,2893.0,2025-09-20,18379,18927,3225
48066110,bullet,2026-01-19,2660,2808.0,2025-12-20,830,822,99
44629086,rapid,2026-01-19,2798,2940.0,2020-10-11,26,1,5
44629086,blitz,2026-01-19,3093,3118.0,2025-09-14,7752,5177,1897
44629086,bullet,2026-01-19,2674,2877.0,2020-09-28,354,214,62
27300798,rapid,2026-01-19,2757,2895.0,2020-08-22,62,28,61
27300798,blitz,2026-01-19,3122,3185.0,2025-08-01,652,325,155
27300798,bullet,2026-01-19,3108,3121.0,2025-02-16,1115,539,129
284620627,rapid,2026-01-19,2754,2840.0,2023-11-07,59,3,2
284620627,blitz,2026-01-19,2816,2884.0,2025-11-05,1114,800,216
284620627,bullet,2026-01-19,2812,2915.0,2025-12-08,5156,3653,600
338103933,rapid,2026-01-19,2753,2754.0,2024-01-11,30,5,6
338103933,blitz,2026-01-19,2775,2924.0,2025-01-23,1507,957,330
338103933,bullet,2026-01-19,2921,3047.0,2025-08-15,3422,1571,398
51248978,rapid,2026-01-19,2752,2772.0,2025-11-13,297,54,101
51248978,blitz,2026-01-19,2687,2817.0,2025-07-01,1621,978,553
51248978,bullet,2026-01-19,2692,2623.0,2025-01-16,99,61,26
51123018,rapid,2026-01-19,2739,2819.0,2025-07-07,1023,167,79
51123018,blitz,2026-01-19,2958,3014.0,2026-01-10,2920,1359,445
51123018,bullet,2026-01-19,2971,3094.0,2026-01-10,12602,4469,896
62925986,rapid,2026-01-19,2730,2829.0,2020-10-16,66,39,36
62925986,blitz,2026-01-19,2871,3077.0,2025-01-10,3184,3106,924
62925986,bullet,2026-01-19,2667,2901.0,2025-12-02,2525,2636,341
14074142,rapid,2026-01-19,2730,2871.0,2020-11-29,509,147,125
14074142,blitz,2026-01-19,3125,3149.0,2025-11-05,8447,3833,1628
14074142,bullet,2026-01-19,3063,3162.0,2025-02-22,4052,1912,541
1355607,rapid,2026-01-19,2728,2728.0,2026-01-13,376,141,64
1355607,blitz,2026-01-19,2917,2974.0,2020-02-26,14903,7473,2702
1355607,bullet,2026-01-19,2857,2888.0,2020-11-02,4677,1837,339
26352834,rapid,2026-01-19,2726,2736.0,2025-08-01,330,64,32
26352834,blitz,2026-01-19,2666,2727.0,2024-08-15,4170,3777,812
26352834,bullet,2026-01-19,2503,2713.0,2018-04-24,90,70,5
23579934,rapid,2026-01-19,2715,2715.0,2026-01-17,146,62,60
23579934,blitz,2026-01-19,3047,3126.0,2026-01-07,4204,3720,1141
23579934,bullet,2026-01-19,2926,3020.0,2024-07-26,464,386,57
49308476,rapid,2026-01-19,2714,2714.0,2026-01-19,366,127,53
49308476,blitz,2026-01-19,2941,3009.0,2024-11-25,4498,2947,666
49308476,bullet,2026-01-19,3027,3027.0,2026-01-17,1179,743,114
406113149,rapid,2026-01-19,2702,2702.0,2026-01-11,389,91,48
406113149,blitz,2026-01-19,2705,2719.0,2025-11-26,530,410,93
406113149,bullet,2026-01-19,2601,2601.0,2026-01-17,172,129,17
1784023,rapid,2026-01-19,2700,2704.0,2025-11-18,1329,132,151
1784023,blitz,2026-01-19,3061,3087.0,2025-10-07,1865,868,610
1784023,bullet,2026-01-19,3021,3124.0,2025-11-15,8916,2693,1014
30494226,rapid,2026-01-19,2695,2775.0,2023-07-24,140,79,105
30494226,blitz,2026-01-19,3125,3237.0,2025-06-10,6183,5617,1542
30494226,bullet,2026-01-19,3136,3184.0,2020-10-28,3152,3055,485
157440329,rapid,2026-01-19,2690,2788.0,2021-10-12,62,5,4
3958391,rapid,2026-01-19,2683,2715.0,2020-08-15,483,115,141
3958391,blitz,2026-01-19,3041,3143.0,2025-07-01,7015,2435,1517
3958391,bullet,2026-01-19,2917,3060.0,2023-03-05,963,691,91
70572670,rapid,2026-01-19,2682,2697.0,2025-11-02,143,43,19
70572670,blitz,2026-01-19,2556,2655.0,2025-10-18,67,43,11
70572670,bullet,2026-01-19,826,826.0,2025-10-24,2,1,0
152868735,rapid,2026-01-19,2679,2698.0,2025-09-05,662,207,107
152868735,blitz,2026-01-19,2885,2983.0,2025-10-03,4344,3497,744
152868735,bullet,2026-01-19,2907,3024.0,2025-09-18,963,925,116
11511066,rapid,2026-01-19,2679,2679.0,2026-01-08,33,6,6
11511066,blitz,2026-01-19,2806,2891.0,2024-10-08,1088,865,216
11511066,bullet,2026-01-19,2630,2780.0,2020-09-29,389,297,37
28234198,rapid,2026-01-19,2677,2737.0,2022-11-19,48,27,48
